===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.51.178:5003/
[+] Method:                  GET
[+] Threads:                 40
[+] Wordlist:                /usr/share/wordlists/directory_enum/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,php,txt
[+] Timeout:                 10s
===============================================================
2022/02/10 13:02:38 Starting gobuster in directory enumeration mode
===============================================================
/webapp               (Status: 500) [Size: 62638]
/Search               (Status: 500) [Size: 62638]
/press_releases       (Status: 500) [Size: 62750]
/hosting              (Status: 500) [Size: 62652]
/75                   (Status: 500) [Size: 62582]
/impressum            (Status: 500) [Size: 62680]
/n                    (Status: 500) [Size: 62568]
/77                   (Status: 500) [Size: 62582]
/id                   (Status: 500) [Size: 62582]
/100                  (Status: 500) [Size: 62596]
/magazine             (Status: 500) [Size: 62666]
/58                   (Status: 500) [Size: 62582]
/72                   (Status: 500) [Size: 62582]
/69                   (Status: 500) [Size: 62582]
/food                 (Status: 500) [Size: 62610]
/sites                (Status: 500) [Size: 62624]
/python               (Status: 500) [Size: 62638]
/review               (Status: 500) [Size: 62638]
/62                   (Status: 500) [Size: 62582]
/radio                (Status: 500) [Size: 62624]
/shared               (Status: 500) [Size: 62638]
/91                   (Status: 500) [Size: 62582]
/80                   (Status: 500) [Size: 62582]
/81                   (Status: 500) [Size: 62582]
/css                  (Status: 500) [Size: 62596]
/project              (Status: 500) [Size: 62652]
/specials             (Status: 500) [Size: 62666]
/73                   (Status: 500) [Size: 62582]
/delicious            (Status: 500) [Size: 62680]
/rss2                 (Status: 500) [Size: 62610]
/Software             (Status: 500) [Size: 62666]
/unix                 (Status: 500) [Size: 62610]
/67                   (Status: 500) [Size: 62582]
/76                   (Status: 500) [Size: 62582]
/feature              (Status: 500) [Size: 62652]
/programming          (Status: 500) [Size: 62708]
/85                   (Status: 500) [Size: 62582]
/courses              (Status: 500) [Size: 62652]
/purchase             (Status: 500) [Size: 62666]
/99                   (Status: 500) [Size: 62582]
/marketing            (Status: 500) [Size: 62680]
/money                (Status: 500) [Size: 62624]
/information          (Status: 500) [Size: 62708]
/68                   (Status: 500) [Size: 62582]
/84                   (Status: 500) [Size: 62582]
/71                   (Status: 500) [Size: 62582]
/v                    (Status: 500) [Size: 62568]
/82                   (Status: 500) [Size: 62582]
/law                  (Status: 500) [Size: 62596]
/alerts               (Status: 500) [Size: 62638]
/78                   (Status: 500) [Size: 62582]
/90                   (Status: 500) [Size: 62582]
/87                   (Status: 500) [Size: 62582]
/server               (Status: 500) [Size: 62638]
/accessibility        (Status: 500) [Size: 62736]
/ajax                 (Status: 500) [Size: 62610]
/government           (Status: 500) [Size: 62694]
/template             (Status: 500) [Size: 62666]
/74                   (Status: 500) [Size: 62582]
/Contact              (Status: 500) [Size: 62652]
/wordpress            (Status: 500) [Size: 62680]
/bio                  (Status: 500) [Size: 62596]
/customers            (Status: 500) [Size: 62680]
/79                   (Status: 500) [Size: 62582]
/presentations        (Status: 500) [Size: 62736]
/right                (Status: 500) [Size: 62624]
/mission              (Status: 500) [Size: 62652]
/98                   (Status: 500) [Size: 62582]
/cat                  (Status: 500) [Size: 62596]
/95                   (Status: 500) [Size: 62582]
/mirrors              (Status: 500) [Size: 62652]
/footers              (Status: 500) [Size: 62652]
/icom_includes        (Status: 500) [Size: 62736]
/ss                   (Status: 500) [Size: 62582]
/88                   (Status: 500) [Size: 62582]
/tr                   (Status: 500) [Size: 62582]
/spyware              (Status: 500) [Size: 62652]
/u                    (Status: 500) [Size: 62568]
/earthweb_foot2       (Status: 500) [Size: 62750]
/rules                (Status: 500) [Size: 62624]
/Security             (Status: 500) [Size: 62666]
/team                 (Status: 500) [Size: 62610]
/ca                   (Status: 500) [Size: 62582]
/test                 (Status: 500) [Size: 62610]
/bottom               (Status: 500) [Size: 62638]
/devx_foot2           (Status: 500) [Size: 62694]
/ruledivide_foot      (Status: 500) [Size: 62764]
/edit                 (Status: 500) [Size: 62610]
/networking           (Status: 500) [Size: 62694]
/computers            (Status: 500) [Size: 62680]
/classifieds          (Status: 500) [Size: 62708]
/86                   (Status: 500) [Size: 62582]
/tos                  (Status: 500) [Size: 62596]
/corrections          (Status: 500) [Size: 62708]
/schedule             (Status: 500) [Size: 62666]
/my                   (Status: 500) [Size: 62582]
/pc                   (Status: 500) [Size: 62582]
/z                    (Status: 500) [Size: 62568]
/About                (Status: 500) [Size: 62624]
/read                 (Status: 500) [Size: 62610]
/family               (Status: 500) [Size: 62638]
/icom_foot            (Status: 500) [Size: 62680]
/event                (Status: 500) [Size: 62624]
/virus                (Status: 500) [Size: 62624]
/students             (Status: 500) [Size: 62666]
/webcasts             (Status: 500) [Size: 62666]
/credits              (Status: 500) [Size: 62652]
/newsroom             (Status: 500) [Size: 62666]
/grcom_foot           (Status: 500) [Size: 62694]
/out                  (Status: 500) [Size: 62596]
/icon_smile           (Status: 500) [Size: 62694]
/humor                (Status: 500) [Size: 62624]
/101                  (Status: 500) [Size: 62596]
/updates              (Status: 500) [Size: 62652]
/93                   (Status: 500) [Size: 62582]
/yahoo                (Status: 500) [Size: 62624]
/92                   (Status: 500) [Size: 62582]
/83                   (Status: 500) [Size: 62582]
/includes             (Status: 500) [Size: 62666]
/pdfs                 (Status: 500) [Size: 62610]
/journal              (Status: 500) [Size: 62652]
/interviews           (Status: 500) [Size: 62694]
/Privacy              (Status: 500) [Size: 62652]
/crypto               (Status: 500) [Size: 62638]
