Target: http://10.10.191.254/api/items?FUZZ=test
Total requests: 4702
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00296:  C=400      0 L	       1 W	     45 Ch	  "Program Files"
00299:  C=400      0 L	       1 W	     45 Ch	  "R"
00298:  C=400      0 L	       1 W	     45 Ch	  "Publications"
00295:  C=400      0 L	       1 W	     45 Ch	  "Products"
00297:  C=400      0 L	       1 W	     45 Ch	  "Projects"
00300:  C=400      0 L	       1 W	     45 Ch	  "RCS"
00302:  C=400      0 L	       1 W	     45 Ch	  "RSS"
00305:  C=400      0 L	       1 W	     45 Ch	  "RealMedia"
00306:  C=400      0 L	       1 W	     45 Ch	  "Recycled"
00304:  C=400      0 L	       1 W	     45 Ch	  "Readme"
00301:  C=400      0 L	       1 W	     45 Ch	  "README"
00303:  C=400      0 L	       1 W	     45 Ch	  "Rakefile"
00307:  C=400      0 L	       1 W	     45 Ch	  "Research"
00309:  C=400      0 L	       1 W	     45 Ch	  "Root"
00313:  C=400      0 L	       1 W	     45 Ch	  "SQL"
00312:  C=400      0 L	       1 W	     45 Ch	  "SOAPMonitor"
00314:  C=400      0 L	       1 W	     45 Ch	  "SUNWmc"
00311:  C=400      0 L	       1 W	     45 Ch	  "SERVER-INF"
00308:  C=400      0 L	       1 W	     45 Ch	  "Resources"
00310:  C=400      0 L	       1 W	     45 Ch	  "S"
00315:  C=400      0 L	       1 W	     45 Ch	  "Scripts"
00317:  C=400      0 L	       1 W	     45 Ch	  "Security"
00320:  C=400      0 L	       1 W	     45 Ch	  "Services"
00321:  C=400      0 L	       1 W	     45 Ch	  "Servlet"
00319:  C=400      0 L	       1 W	     45 Ch	  "ServerAdministrator"
00316:  C=400      0 L	       1 W	     45 Ch	  "Search"
00318:  C=400      0 L	       1 W	     45 Ch	  "Server"
00322:  C=400      0 L	       1 W	     45 Ch	  "Servlets"
00324:  C=400      0 L	       1 W	     45 Ch	  "SiteMap"
00327:  C=400      0 L	       1 W	     45 Ch	  "Sites"
00328:  C=400      0 L	       1 W	     45 Ch	  "Software"
00326:  C=400      0 L	       1 W	     45 Ch	  "SiteServer"
00323:  C=400      0 L	       1 W	     45 Ch	  "Shibboleth.sso/Metadata"
00325:  C=400      0 L	       1 W	     45 Ch	  "SiteScope"
00329:  C=400      0 L	       1 W	     45 Ch	  "Sources"
00331:  C=400      0 L	       1 W	     45 Ch	  "Spy"
00334:  C=400      0 L	       1 W	     45 Ch	  "Super-Admin"
00335:  C=400      0 L	       1 W	     45 Ch	  "Support"
00333:  C=400      0 L	       1 W	     45 Ch	  "Stats"
00330:  C=400      0 L	       1 W	     45 Ch	  "Sports"
00332:  C=400      0 L	       1 W	     45 Ch	  "Statistics"
00336:  C=400      0 L	       1 W	     45 Ch	  "SysAdmin"
00338:  C=400      0 L	       1 W	     45 Ch	  "T"
00341:  C=400      0 L	       1 W	     45 Ch	  "TODO"
00342:  C=400      0 L	       1 W	     45 Ch	  "Technology"
00340:  C=400      0 L	       1 W	     45 Ch	  "TMP"
00337:  C=400      0 L	       1 W	     45 Ch	  "SysAdmin2"
00339:  C=400      0 L	       1 W	     45 Ch	  "TEMP"
00343:  C=400      0 L	       1 W	     45 Ch	  "Themes"
00354:  C=400      0 L	       1 W	     45 Ch	  "W3SVC1"
00345:  C=400      0 L	       1 W	     45 Ch	  "Travel"
00357:  C=400      0 L	       1 W	     45 Ch	  "WEB-INF"
00356:  C=400      0 L	       1 W	     45 Ch	  "W3SVC3"
00353:  C=400      0 L	       1 W	     45 Ch	  "W3SVC"
00349:  C=400      0 L	       1 W	     45 Ch	  "Utilities"
00355:  C=400      0 L	       1 W	     45 Ch	  "W3SVC2"
00352:  C=400      0 L	       1 W	     45 Ch	  "W"
00351:  C=400      0 L	       1 W	     45 Ch	  "Video"
00348:  C=400      0 L	       1 W	     45 Ch	  "UserFiles"
00350:  C=400      0 L	       1 W	     45 Ch	  "V"
